 0 	 23.82
 0.03 	 23.76
 0.07 	 22.83
 0.10 	 20.47
 0.13 	 17.93
 0.17 	 14.47
 0.20 	 9.76
 0.23 	 4.79
 0.27 	-0.16
 0.30 	-5.07
 0.33 	-10.14
 0.37 	-14.68
 0.40 	-18.15
 0.43 	-20.92
 0.47 	-22.90
 0.50 	-25.21
 0.53 	-24.90
 0.57 	-21.12
 0.60 	-19.10
 0.63 	-15.70
 0.67 	-11.34
 0.70 	-7.50
 0.73 	-2.79
 0.77 	 1.71
 0.80 	 7.29
 0.83 	 11.10
 0.87 	 15.17
 0.90 	 18.62
 0.93 	 23.19
 0.97 	 24.41
 1.00 	 24.04
 1.03 	 23.50
 1.07 	 21.57
 1.10 	 19.67
 1.13 	 16.29
 1.17 	 12.11
 1.20 	 7.51
 1.23 	 2.48
 1.27 	-3.06
 1.30 	-7.54
 1.33 	-12.29
 1.37 	-17.80
 1.40 	-20.38
 1.43 	-22.40
 1.47 	-23.98
 1.50 	-23.84
 1.53 	-20.66
 1.57 	-20.48
 1.60 	-17.70
 1.63 	-14.00
 1.67 	-9.14
 1.70 	-3.31
 1.73 	 0.30
 1.77 	 4.72
 1.80 	 8.99
 1.83 	 14.34
 1.87 	 19.58
 1.90 	 22.44
 1.93 	 24.09
 1.97 	 24.86
 2.00 	 24.58
 2.03 	 23.07
 2.07 	 20.90
 2.10 	 15.64
 2.13 	 12.04
 2.17 	 7.95
 2.20 	 3.41
 2.23 	-1.14
 2.27 	-7.93
 2.30 	-12.35
 2.33 	-15.99
 2.37 	-18.55
 2.40 	-21.12
 2.43 	-21.94
 2.47 	-23.78
 2.50 	-20.62
 2.53 	-20.27
 2.57 	-17.54
 2.60 	-14.84
 2.63 	-9.46
 2.67 	-4.65
 2.70 	 0.40
 2.73 	 3.76
 2.77 	 8.82
 2.80 	 12.79
 2.83 	 15.80
 2.87 	 18.62
 2.90 	 19.89
 2.93 	 24.49
 2.97 	 24.39
 3.00 	 21.21
 3.03 	 19.08
 3.07 	 16.49
 3.10 	 13.22
 3.13 	 9.30
 3.17 	 4.85
 3.20 	 0.08
 3.23 	-4.71
 3.27 	-9.52
 3.30 	-13.75
 3.33 	-17.39
 3.37 	-20.18
 3.40 	-22.44
 3.43 	-23.45
 3.47 	-23.24
 3.50 	-21.54
 3.53 	-19.23
 3.57 	-16.27
 3.60 	-11.83
 3.63 	-7.44
 3.67 	-2.62
 3.70 	 1.89
 3.73 	 6.39
 3.77 	 10.38
 3.80 	 13.70
 3.83 	 16.53
 3.87 	 18.26
 3.90 	 19.25
 3.93 	 19.38
 3.97 	 18.93
 4.00 	 17.50
 4.03 	 15.17
 4.07 	 11.93
 4.10 	 8.45
 4.13 	 4.00
 4.17 	-0.55
 4.20 	-4.92
 4.23 	-9.22
 4.27 	-14.20
 4.30 	-17.56
 4.33 	-20.49
 4.37 	-22.36
 4.40 	-23.33
 4.43 	-23.29
 4.47 	-22.10
 4.50 	-20.22
 4.53 	-17.37
 4.57 	-13.76
 4.60 	-8.92
 4.63 	-4.50
 4.67 	-0.27
 4.70 	 5.64
 4.73 	 9.88
 4.77 	 15.80
 4.80 	 19.12
 4.83 	 22.02
 4.87 	 23.66
 4.90 	 24.12
 4.93 	 23.67
 4.97 	 22.24
 5.00 	 19.88
 5.03 	 16.65
 5.07 	 12.29
 5.10 	 8.24
 5.13 	 3.17
 5.17 	-1.88
 5.20 	-6.44
 5.23 	-10.55
 5.27 	-14.33
 5.30 	-18.70
 5.33 	-21.56
 5.37 	-22.79
 5.40 	-22.17
 5.43 	-22.34
 5.47 	-20.79
 5.50 	-18.05
 5.53 	-13.77
 5.57 	-10.12
 5.60 	-5.82
 5.63 	-1.53
 5.67 	 3.89
 5.70 	 9.07
 5.73 	 13.27
 5.77 	 18.00
 5.80 	 20.71
 5.83 	 22.74
 5.87 	 23.34
 5.90 	 23.35
 5.93 	 22.77
 5.97 	 20.96
 6.00 	 18.00
 6.03 	 14.06
 6.07 	 9.90
 6.10 	 5.28
 6.13 	 0.78
 6.17 	-5.45
 6.20 	-9.79
 6.23 	-13.67
 6.27 	-16.89
 6.30 	-20.30
 6.33 	-22.27
 6.37 	-22.81
 6.40 	-22.36
 6.43 	-21.09
